videoId	title	views	impressions	ctr	watch_time	subs	thumb
0B1cNP4zns4	When Local LLMs Are ACTUALLY Worth It + Top 3 Coding LLMs (2025)	1.05	1.69	108.59	1.33	2.44	https://i9.ytimg.com/vi/0B1cNP4zns4/maxresdefault.jpg?v=694d98ed&sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYZSBlKGUwDw==&rs=AOn4CLDbk1Lf5EQL0uEAxknzD0JKLTUWcw
8FiXYO7swV8	$1.28/YEAR MACBOOK AIR AGENT BOX	1.02	0.01	312.37	0.24	0	https://i9.ytimg.com/vi/8FiXYO7swV8/maxres2.jpg?sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYZSBlKGUwDw==&rs=AOn4CLDApAvCf50_4Vnzv9GEy_ASOU9Pzw
DVTTskFgI-8	630% Better: pi-AutoResearch in 13 Minutes	0.97	0.71	302.75	3.28	3.66	https://i9.ytimg.com/vi/DVTTskFgI-8/maxresdefault.jpg?v=6a13e1e8&sqp=CLSO8NEG&rs=AOn4CLBcV31v837jmirQESnNi8DVc2OVmw
plMBQwB5exs	Hermes Desktop Actually Works Better Than I Expected	0.96	2.11	92.1	2.38	1.22	https://i9.ytimg.com/vi_webp/plMBQwB5exs/maxresdefault.webp?v=6a2a4aa1&sqp=CLSO8NEG&rs=AOn4CLAd-eawEcWm1mxRhLC5co30lTG4IA
5sosnrxps6E	Hermes Agent: Day 2	0.94	3.08	81.1	5.98	1.22	https://i9.ytimg.com/vi/5sosnrxps6E/maxresdefault.jpg?sqp=CJzkutIG-oaymwEmCIAKENAF8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGBkgEyh_MA8=&rs=AOn4CLDDxHB9isHx8mtoAJXF_OyOcnnTAA
73cBTyELCTI	I switched from Playwright MCP to this	0.9	1.34	118.21	0.6	0	https://i9.ytimg.com/vi/73cBTyELCTI/maxres2.jpg?sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYPyBDKH8wDw==&rs=AOn4CLCLzn3zlHliBFmUsrP0Nssy2eqVvQ
p4MbGVyG0UY	Scrimba is a great way to learn software engineering #learning #learntocode  #coding #langchain	0.88	0.89	281.79	0.33	1.22	https://i9.ytimg.com/vi/p4MbGVyG0UY/maxresdefault.jpg?sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYTyBeKGUwDw==&rs=AOn4CLBvhXRpI-xn3lKG5Qd-9nxZkBOg8A
PkXoW2PEZ5I	I’m Building 24/7 AI Agents for My Goals	0.87	0.29	89.35	0.48	0	https://i9.ytimg.com/vi/PkXoW2PEZ5I/maxres2.jpg?sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYQiBVKGUwDw==&rs=AOn4CLBzLRBoDkEZ0Gnmfj8v4OpSfVFL-A
LUiVbOeLeas	LM Studio Models not behaving? Try this!	0.86	0.61	308.25	0.89	0	https://i9.ytimg.com/vi_webp/LUiVbOeLeas/maxresdefault.webp?v=65ddb440&sqp=CLSO8NEG&rs=AOn4CLA4KYs1wcw8AfWxZW91axRhozFEUg
J0XsQYMYPdw	first try uncensored model tiny dolphin #ollama #lmstudio #chatgpt #llm #ai	0.84	1.12	92.78	0.45	0	https://i9.ytimg.com/vi/J0XsQYMYPdw/maxres2.jpg?sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYRyBYKHIwDw==&rs=AOn4CLCKUNYjiPEp2Q3IvH0Y_L5s6f8PQw
H1V_FoNQaeg	Open Source AI Live	0.84	3.63	52.23	5.2	0	https://i9.ytimg.com/vi/H1V_FoNQaeg/maxresdefault.jpg?sqp=CJzkutIG-oaymwEmCIAKENAF8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGGUgZShlMA8=&rs=AOn4CLAwbuXkbiAEB6zdd243mvA5A9Idsg
D1JR8v91oSQ	The FASTEST AI Search API is Here (Exa 2.1)	0.81	0.59	358.76	1.37	1.22	https://i9.ytimg.com/vi_webp/D1JR8v91oSQ/maxresdefault.webp?v=6946f5a1&sqp=CLSO8NEG&rs=AOn4CLA6Jy2WUEX1L04C8Y3gePrmR4JOVA
3DBpfB0ao50	Clawdbot in Less Than 2 Minutes (FREE 24/7 HOSTING)	0.79	0.81	272.51	1.33	4.88	https://i9.ytimg.com/vi_webp/3DBpfB0ao50/maxresdefault.webp?v=697f1077&sqp=CLSO8NEG&rs=AOn4CLA32KtpsnNxmLIbrEtBTgD-WWa_hA
04zh52sV1vw	bed work setup setup #wfh #ergonomic #workfromhome #softwareengineer #LifeHack #comfortable ‎08-29	0.79	0.7	149.48	0.24	0	https://i9.ytimg.com/vi/04zh52sV1vw/maxres2.jpg?sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYciBTKDAwDw==&rs=AOn4CLA3G_UcVSWNUFboLRDktksFJSoc5A
za9YZvcQMnI	xreal air AR glasses #productivity #techtok #digitalnomad #augmentedreality #visionpro	0.78	0.68	121.31	0.28	0	https://i9.ytimg.com/vi/za9YZvcQMnI/maxres2.jpg?sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYZSBeKFgwDw==&rs=AOn4CLA3WkRHxEqXK1PHRIfONKKddthbXw
7yiK8vxhQNs	I Built a Custom Hermes Plugin for My AI Content Agent	0.75	2.21	112.03	0.82	2.44	https://i9.ytimg.com/vi_webp/7yiK8vxhQNs/maxresdefault.webp?v=6a4a9f44&sqp=CJzkutIG&rs=AOn4CLDKEUZSEzsrzPaA1Zrqn2yGAzzZCg
kbC-Riekv8o	AGNT.gg Founder Explains his Open Source Super App	0.69	1.48	69.42	3.81	2.44	https://i9.ytimg.com/vi/kbC-Riekv8o/maxresdefault.jpg?v=6a3ab673&sqp=CJzkutIG&rs=AOn4CLB9_hFyS_f0vpQtKSw5X1sNvgUGfw
mQvAsmZHiO0	Setting up a 24/7 Hermes Agent | Day 3 | Auditing Skills	0.69	1.53	106.53	4.8	1.22	https://i9.ytimg.com/vi/mQvAsmZHiO0/maxresdefault.jpg?v=6a3c1049&sqp=CJzkutIG&rs=AOn4CLASmp18PcUh8NHjI_P987BcVbqlfA
ne2F9TeAhnc	I Birthed a new Agent Profile with the Hermes Desktop App	0.62	3.99	66.32	0.7	1.22	https://i9.ytimg.com/vi_webp/ne2F9TeAhnc/maxresdefault.webp?v=6a46722d&sqp=CJzkutIG&rs=AOn4CLD3kYeZYmQ9SBw9xOx14HfVyHi51w
IvJ_iGPpsYo	My Hermes Agent was BLOATED	0.61	1.58	83.51	1.27	0	https://i9.ytimg.com/vi/IvJ_iGPpsYo/maxresdefault.jpg?v=6a4a0f9c&sqp=CJzkutIG&rs=AOn4CLDr4_XNjukzIECFCdirr3hj18ysyw
iLNKPzeyGyc	I’m Building 24/7 AI Agents For My Real Life	0.6	1.25	95.19	2.04	2.44	https://i9.ytimg.com/vi_webp/iLNKPzeyGyc/maxresdefault.webp?v=6a397d0f&sqp=CLSO8NEG&rs=AOn4CLCuCd4LstlRv-1dXxwrx44U763IOw
plBcUc997sg	Playwright MCP vs. Chrome Dev Tools: Which is Better for Finding Bugs?	0.6	0.35	361.17	1.47	0	https://i9.ytimg.com/vi_webp/plBcUc997sg/maxresdefault.webp?v=692b38ca&sqp=CLSO8NEG&rs=AOn4CLCarYUR3QR82-9AKHouVjTe-FsuLQ
tmlaU8kkGGQ	Hermes Agent Day 4: Building Custom AI Dashboards	0.59	1.01	154.3	2.77	8.54	https://i9.ytimg.com/vi/tmlaU8kkGGQ/maxresdefault.jpg?v=6a3eb846&sqp=CJzkutIG&rs=AOn4CLD_q2UgOEXkgCvAC3kFVfyFY2KuhA
nUiK9c_zfY8	Setting Up Tailscale for My Remote Agent	0.57	1.76	80.41	0.76	1.22	https://i9.ytimg.com/vi_webp/nUiK9c_zfY8/maxresdefault.webp?v=6a3b6616&sqp=CLSO8NEG&rs=AOn4CLDYkE7LLa2AcG1YLXx30Uf9hP3rMw
A4I6U4NAayE	24 Hours With Hermes Agent: My Main AI Agent?	0.56	1.18	74.23	2.02	0	https://i9.ytimg.com/vi_webp/A4I6U4NAayE/maxresdefault.webp?v=6a2b9d1e&sqp=CLSO8NEG&rs=AOn4CLBUJyy9oTsOA2AOkMTdz62lw5mqdQ
wx2vcasba8s	Setting up remote access via tailscale + hermes agent profile	0.46	0.95	72.16	4.46	3.66	https://i9.ytimg.com/vi/wx2vcasba8s/maxresdefault.jpg?sqp=CJzkutIG-oaymwEmCIAKENAF8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGFkgWShZMA8=&rs=AOn4CLAVp1QyMATOq0q_-FqpDpnF3Fue3A
TGc24Ofu7NE	Kaggle has competitions with big prizes!	0.46	0.63	102.41	0.21	0	https://i9.ytimg.com/vi/TGc24Ofu7NE/maxres2.jpg?sqp=CJzkutIG-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYPSBRKHIwDw==&rs=AOn4CLCRg6pHEOkPCQk3pQYi4U2_zw6QPA
ZG3SdmP4EUs	Desktop Commander: An MCP Server for AI PC Control.	0.43	0.15	570.45	0.79	0	https://i9.ytimg.com/vi_webp/ZG3SdmP4EUs/maxresdefault.webp?v=68bc942f&sqp=CLSO8NEG&rs=AOn4CLBjSfpI0rZwW1SMZo-ZkC4K8cL2Ew
OsChkvGGDgw	Aider tips and Example use	0.42	0.26	261.86	1.29	1.22	https://i9.ytimg.com/vi_webp/OsChkvGGDgw/maxresdefault.webp?v=6662f5df&sqp=CLSO8NEG&rs=AOn4CLCXCQNrn35M1hJ65eMsvjU518Znug
1n4TcZQ_P9c	Hermes Kanban Actually Started Running My Content Work	0.42	0.77	102.75	1	0	https://i9.ytimg.com/vi_webp/1n4TcZQ_P9c/maxresdefault.webp?v=6a3d3b6a&sqp=CJzkutIG&rs=AOn4CLDZdc-t7SvGtoMdP67fum2BsWdVOg
y22Fcc9cx6k	Codex Needs This Voice Agent Shortcut	0.4	0.07	93.81	0.16	0	https://i9.ytimg.com/vi/y22Fcc9cx6k/maxresdefault.jpg?sqp=CJzkutIG-oaymwEmCIAKENAF8quKqQMa8AEB-AG2CIACgA-KAgwIABABGEsgXihlMA8=&rs=AOn4CLDimhoyiilcfHPxZsznaE2JQE5d_w
lEOTCZgxdho	Trying Hermes Desktop + More	0.4	0.77	91.07	2.3	0	https://i9.ytimg.com/vi/lEOTCZgxdho/maxresdefault.jpg?sqp=CJzkutIG-oaymwEmCIAKENAF8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGC8gWCh_MA8=&rs=AOn4CLB2gPySa79Fm4VWttJCDgieeRhcBg
